nomCru;country_label;subregion_label;area_label;axisValue;millesime;volume;date_achat;prix;cote;quantite_courante;quantite_achat;garde_min;garde_max;garde_optimum;suggestion;comment;lieu_achat;canal_vente
A. Chauvet - Cachet Rouge - Millésimé;France;Champagne;Champagne Grand Cru;blanc effervescent;2008;75 cl;11.03.16;28;28;2;3;2;10;2;;;salon de la gastro Annecy le vieux;En direct du producteur
A. Chauvet - Cachet Vert;France;Champagne;Champagne;blanc effervescent;-;75 cl;11.03.16;17.8;17.8;2;3;2;10;2;;à boire avant 2018;salon de la gastro Annecy le vieux;En direct du producteur
A. Chauvet - Grand Rosé;France;Champagne;Champagne;rosé effervescent;2007;75 cl;11.03.16;28;28;2;3;2;10;2;;;salon de la gastro Annecy le vieux;En direct du producteur
Aalto;Espagne;Castille-Leon;Ribera del Duero;rouge;2013;75 cl;20.04.16;27.5;27.5;2;3;1;5;1;Rôtis / viandes rouges / pot-au-feu / agneau aux fines herbes / jambon / charcuteries;tempranillo. Oenologue Mariano García (Vega Sicilia).. Robe :Intense / sombre / brillant / robe intense. Nez : Arômes fruités / arômes de fleurs / réglisse / encens / épices / frais / vanille / moka / tabac / notes minérales / harmonieux / persistant. Bouche : Intense / ample / élégant / fruité / charnu / corpulent / enveloppant / crémeux / long;Vinissimus;Achat sur Internet
Aalto;Espagne;Castille-Leon;Ribera del Duero;rouge;2014;75 cl;01.12.16;29.9;29.9;6;6;2;16;9;carré d'agneau et gratin dauphinois, entrecôte bordelaise;"ouvrir &amp;h avant et carafer";1jour1vin;Achat sur Internet
Alain Brumont, Vendémiaire;France;Sud-Ouest;Pacherenc du Vic Bilh;blanc liquoreux;2008;50 cl;25.08.13;10.85;10.85;2;3;3;12;3;;;Chateau Montus - Par Franck et Cécile;En direct du producteur
Alfred Rothschild et Cie - Brut Grande Réserve;France;Champagne;Champagne;blanc effervescent;-;75 cl;18.03.17;0;0;1;1;2;10;2;;pour mon anniversaire 2017;offert par Maryse;Cadeau
Alion;Espagne;Castille-Leon;Ribera del Duero;rouge;2012;75 cl;20.04.16;48.9;48.9;2;2;1;5;1;;maison fondée par Vega Sicilia en 1991. Très grand vin immédiatement reconnu et plébiscité par la critique (Parker, Penin). Vin élaboré à partir de la variété Tinto fino. Elevage en fût de 14 à 20 mois+15 mois en bouteille.;Vinissimus;Achat sur Internet
Barbeito - Rainwater Reserva - Medium dry;Portugal;Madeira;Terras Madeirenses;vin blanc muté;-;75 cl;21.05.16;0;15;1;1;1;15;1;Excellent as an aperitif, with salted nuts, olives, tapas, consomme?cheese.. servir frais 11° ou 12°;Gold colour.. Quite aromatic!. Caramel, nuts, almonds, candied fruits. Full,extreme softness. Longfresh.. ;offert par Franck et Cécile;Cadeau
Ben Glaetzer - Bishop;Australie;Australie Méridionale;Barossa Valley;rouge;2010;75 cl;13.12.12;22;22;1;2;1;10;5;;Le nez est profond avec des fruits compotés ,des arômes de havane, la réglisse,le poivre et l'eucalyptus.La bouche est pleine,visqueuse avec une sensation veloutée délicieuse.La finale rappelle la figue,les fruits noirs ;caveprivée.com;Achat sur Internet
Bertrand Machard de Gramont;France;Bourgogne;Vosne-Romanée;rouge;2013;75 cl;26.02.16;32;32;3;3;6;15;6;;;Foire d'Annemasse;Salon de vignerons
Bertrand Machard de Gramont - Les Terrasses des Vallerots;France;Bourgogne;Nuits Saint Georges;rouge;2011;75 cl;26.02.16;23;23;5;6;4;8;4;;;Foire d'Annemasse;Salon de vignerons
Bodegas Aalto - PS;Espagne;Castille-Leon;Ribera del Duero;rouge;2008;75 cl;04.10.11;25;25;1;3;3;13;3;avant 2021;Âge des vignes : plus de 60 ans.. Terroir : Les raisins proviennent de nombreuses parcelles du domaine, au sol argilo-calcaire.. Vinification :En cuves tronconiques inox.. Vinification des parcelles séparées.. Élevage : 23 mois en barriques de chêne dont 50 % neuves et 50 % d?un vin.. Assemblage avant la mise en bouteilles.. Pas de filtration.;Caveprivée.com;Achat sur Internet
Bodegas Vega Sicila Unico;Espagne;Castille-Leon;Ribera del Duero;rouge;2008;75 cl;20.04.16;259.05;259.05;1;1;20;40;25;;;Vinissimus;Achat sur Internet
Bodegas Vega Sicila Unico;Espagne;Castille-Leon;Ribera del Duero;rouge;1965;75 cl;07.10.16;220;220;1;1;10;50;10;;;ebay;Enchères en ligne
Camin Larredya - La Part Davant;France;Sud-Ouest;Jurançon Sec;blanc;2012;75 cl;09.11.13;0;0;1;1;2;5;2;;;offert par Gaelle et Sébastien;Cadeau
Cave de Ribeauvillé - Grand Cru Osterberg;France;Alsace et Lorraine;Alsace Gewurztraminer;blanc moëlleux;2006;75 cl;07.07.13;0;25;1;1;2;10;2;;;offert par Alain et Paula;Cadeau
Chanoine Frères - Tsarine Brut;France;Champagne;Champagne;rosé effervescent;-;75 cl;29.12.16;0;0;1;1;2;10;2;;;offert par Maryse Noël 2016;Cadeau
Château Bouscassé - Vieilles Vignes;France;Sud-Ouest;Madiran;rouge;2009;75 cl;25.08.13;26.85;26.85;1;1;4;12;4;;;Chateau Montus - Par Franck et Cécile;En direct du producteur
Château Canon-La-Gaffelière;France;Bordeaux;Saint Emilion Grand Cru;rouge;2014;75 cl;23.11.15;48.15;48.15;6;6;4;25;4;;avec Pierre Tatzber;Primeurs de la Coop;Grande surface
Château Carbonnieux;France;Bordeaux;Pessac-Léognan;blanc;2006;75 cl;27.06.09;23.5;23.5;1;2;2;12;0;;Carrefour;;Non défini
Château Climens;France;Bordeaux;Barsac;blanc liquoreux;1997;75 cl;18.02.10;90;80;1;1;10;30;20;;pour Anniversaire Rémi... les 18 ou 20 ans !;ebay;Achat sur Internet
Château Coulané;France;Sud-Ouest;Madiran;rouge;2008;75 cl;29.09.12;6.5;6.5;1;1;4;12;4;;;carrefour market Cruseilles;Grande surface
Château d'Arlus - Perlé;France;Sud-Ouest;Gaillac;blanc;2012;75 cl;18.10.15;0;0;1;1;1;4;1;;pas la bonne fiche mais c'est pas grave;offert par Flo et Mab;Cadeau
Château d'Armajan des Ormes;France;Bordeaux;Sauternes;blanc liquoreux;2002;75 cl;15.07.07;19;19;2;4;5;30;0;;Acheté à la maison du Sauternes, à Sauternes;;Non défini
Château d'Yquem;France;Bordeaux;Sauternes;blanc liquoreux;2002;75 cl;22.06.09;135;135;1;1;18;50;0;;Pour les 20 ou 30 ans ???;;Non défini
Château de Fontenelles - Cuvé Renaissance;France;Languedoc-Roussillon;Corbières;rouge;2011;75 cl;25.01.15;0;0;1;1;2;5;4;;;offert par Eric;Non défini
Château de Meursault - 1er Cru;France;Bourgogne;Meursault;blanc;2009;75 cl;12.06.11;27;27;1;3;5;15;5;;;Par Yves Ruaux;En direct du producteur
Château de Savigny-lès-Beaune;France;Bourgogne;Meursault;blanc;2009;75 cl;11.03.16;20;20;2;3;3;15;9;;;salon de la gastro Annecy le vieux;Salon de vignerons
Château de Savigny-lès-Beaune - Les Duresses;France;Bourgogne;Monthélie;blanc;2014;75 cl;11.03.16;14;14;3;3;2;4;2;;;salon dela gastro Annecy le vieux;Salon de vignerons
Château des Eyrins;France;Bordeaux;Margaux;rouge;2009;75 cl;24.12.11;25;25;5;6;6;10;10;;plage de consommation trouvée sur Internet le Figaro Vins;En primeur par Vito;Caviste
Château du Hureau - Cuvée Lisagathe;France;Vallée de la Loire;Saumur-Champigny;rouge;2009;75 cl;03.07.11;17;17;2;3;5;15;5;;;Dampière sur Loire;En direct du producteur
